PRICERANK,Area,BR,BA,Garage,Quality,AGE
1,980,1,1,1,3,51
1,1184,2,1,1,3,51
1,1268,2,1,1,3,55
1,1276,3,2,1,3,51
1,1668,2,1,1,3,54
1,1384,2,1,0,3,53
1,1060,2,1,2,3,55
1,1480,3,2,2,3,49
1,1263,2,2,0,3,47
1,1198,2,2,2,3,77
1,1412,2,1,1,3,62
1,1596,1,1,0,3,62
1,1567,2,1,1,3,68
1,1922,3,1,2,3,52
1,1388,2,1,2,3,51
1,1450,3,1,2,3,47
1,1409,2,1,1,3,51
1,1464,2,1,1,3,45
1,1655,2,1,1,3,67
1,1396,1,1,2,3,52
1,1872,3,2,2,2,17
1,1566,3,1,1,3,43
1,1649,3,1,1,3,51
1,1520,3,1,1,3,49
1,1388,2,1,2,3,52
1,1896,3,2,2,3,77
1,1424,2,1,2,3,55
1,1412,1,2,0,3,82
1,1672,3,1,2,3,53
1,1534,3,2,1,3,47
1,1526,3,2,1,3,45
1,1592,3,2,2,3,45
1,1514,2,2,1,3,38
1,1580,2,1,2,3,36
1,1550,3,1,2,3,46
1,1511,4,1,1,3,48
1,1584,3,2,2,3,45
1,1597,2,1,1,2,47
1,1636,2,1,2,3,52
1,1700,4,2,1,3,48
1,1559,2,1,2,3,50
1,1392,2,2,2,3,51
1,1592,4,2,1,3,46
1,1642,3,1,2,3,43
1,1752,4,2,2,3,52
1,1654,2,1,2,3,40
1,2208,2,2,2,2,17
1,1592,2,1,2,3,51
1,1733,4,1,1,3,66
1,2562,3,2,2,3,117
1,1524,3,2,2,3,44
1,1624,2,2,2,3,47
1,1340,3,1,0,3,50
1,1748,2,1,2,3,46
1,1436,3,2,3,3,82
1,1384,2,1,2,2,41
1,1600,3,1,2,3,52
1,1980,3,2,2,2,45
1,1604,3,2,1,3,42
1,1690,3,2,1,3,80
1,1795,1,2,2,2,22
1,1650,2,2,1,3,45
1,2008,1,2,2,3,61
1,1976,3,3,1,3,84
1,2208,2,2,2,2,17
1,1496,2,2,1,3,102
1,1178,1,1,2,3,43
1,1644,2,2,2,3,46
1,1592,2,1,1,3,51
1,1622,3,1,1,3,46
1,1460,3,2,2,2,24
1,1728,3,1,1,3,52
1,2087,2,2,2,2,36
1,1552,3,1,3,2,43
1,1636,3,1,2,3,49
1,1670,3,2,2,3,49
1,1630,3,2,2,3,24
1,1460,3,2,2,3,42
1,2008,3,1,2,3,39
1,2180,4,2,2,3,54
1,1928,2,2,2,3,61
1,1964,4,2,2,2,38
1,1502,2,2,2,2,46
1,1708,3,1,1,3,52
1,1669,3,2,2,2,35
1,1580,2,1,1,3,52
1,1364,2,1,2,3,60
1,1544,2,2,1,3,45
1,1687,2,1,1,3,61
1,1578,3,1,2,3,27
1,2020,1,2,1,2,46
1,1512,2,1,1,3,46
1,1681,3,2,1,2,45
1,1580,2,1,1,3,51
1,1604,4,2,2,3,48
1,1940,3,2,2,2,46
1,1590,2,2,2,3,46
1,1669,3,2,2,2,38
1,1586,3,2,1,3,44
1,1892,3,1,1,3,47
1,1840,3,2,2,2,42
1,1528,2,2,2,3,20
1,1809,3,1,2,3,44
1,1960,2,2,2,3,55
1,1624,3,2,2,3,54
1,1930,3,2,2,2,46
1,1540,3,2,2,3,45
1,1944,3,2,2,3,51
1,1644,3,1,2,3,46
1,1672,3,1,2,3,53
1,1628,3,1,2,3,45
1,2035,4,2,3,3,40
1,1556,2,1,3,2,43
1,1985,3,1,2,3,54
1,1952,4,2,2,3,39
1,1820,3,2,2,3,42
1,1588,4,2,2,3,22
1,1584,3,2,2,2,13
1,1460,4,2,2,3,41
1,2038,2,2,2,3,84
1,1702,3,2,2,3,41
1,1600,3,2,2,3,45
1,1816,4,1,2,3,46
1,1696,3,3,2,2,24
1,1828,3,2,2,2,46
1,1840,3,1,2,3,49
1,1762,4,3,2,2,43
1,2061,4,2,2,2,44
1,1500,2,1,0,2,64
1,1726,3,2,2,2,40
1,2007,4,3,2,2,43
1,1652,3,2,2,3,43
1,1508,2,2,2,3,43
1,2616,5,3,2,3,47
1,2208,2,2,2,2,17
1,1550,3,1,2,3,36
1,1691,3,2,2,2,34
1,2068,3,2,3,2,25
1,1540,3,2,2,3,10
1,1746,3,2,2,2,28
1,1592,4,2,2,3,25
1,1304,3,1,2,3,51
1,1676,3,2,2,3,46
1,1704,2,2,2,3,48
1,1701,3,2,1,2,20
1,1746,3,2,2,2,18
1,1566,4,2,2,2,9
1,2061,3,2,2,2,46
1,1944,3,2,2,3,63
1,1953,3,2,1,3,46
1,1980,3,1,1,3,75
1,1486,2,2,2,3,44
1,1650,3,2,2,3,41
1,1825,4,2,2,2,39
1,2012,4,2,2,3,49
1,1578,3,1,2,3,44
1,1719,2,3,2,2,42
1,1608,4,2,2,3,33
1,1748,3,2,2,3,30
1,1676,3,3,2,2,37
1,1696,3,3,2,2,34
1,1700,4,2,2,3,49
1,1618,3,2,2,3,40
1,1650,3,2,2,3,42
1,1958,4,3,2,3,67
1,1800,3,2,2,3,38
1,1556,3,2,1,3,43
1,2812,7,5,2,3,36
1,1919,3,4,2,2,64
1,1760,3,2,2,3,28
1,1624,4,3,1,3,43
1,1592,3,2,2,3,43
2,1704,3,2,2,2,18
2,1956,4,2,2,2,40
2,1796,3,2,2,2,39
2,1581,3,2,2,3,46
2,1652,5,2,2,2,42
2,1622,3,2,2,3,27
2,2016,4,3,2,2,39
2,2042,4,3,2,2,39
2,1742,1,1,2,3,41
2,2392,4,2,2,3,42
2,1668,3,1,2,3,46
2,1956,4,3,2,2,34
2,2502,4,2,2,2,38
2,2215,4,1,2,3,54
2,2192,4,2,2,2,39
2,1674,4,2,2,3,55
2,1825,3,3,2,2,45
2,2110,5,3,2,2,45
2,1774,4,2,2,3,39
2,1628,3,1,2,3,43
2,1370,4,1,1,3,77
2,1575,3,3,2,2,45
2,1644,4,3,2,2,26
2,1910,3,2,2,2,44
2,2028,3,2,2,2,51
2,1626,3,3,2,2,34
2,2132,3,3,2,2,33
2,1820,3,2,2,2,58
2,2160,3,2,2,2,19
2,1974,3,2,2,2,48
2,1650,3,2,2,2,37
2,1834,4,3,2,2,43
2,1864,3,2,2,3,62
2,1814,3,3,2,2,24
2,1638,4,2,2,2,39
2,2114,5,2,2,3,36
2,1824,4,2,2,2,43
2,1765,3,2,2,2,26
2,1666,4,2,1,3,48
2,2068,3,2,2,2,23
2,1984,5,3,2,2,41
2,1904,3,3,2,2,24
2,2030,3,3,2,2,43
2,1738,5,3,2,2,19
2,2654,3,5,2,2,40
2,2019,4,3,3,2,42
2,2196,4,3,2,2,37
2,1748,3,2,2,3,45
2,1578,4,3,2,2,16
2,1763,3,3,2,2,43
2,1799,3,2,2,3,40
2,1888,3,2,3,2,44
2,2325,4,3,3,2,29
2,2416,3,3,2,2,18
2,1794,3,3,3,2,26
2,1776,4,2,1,2,22
2,1890,4,2,2,3,41
2,1883,4,2,2,3,46
2,2132,4,3,2,2,26
2,2094,4,3,2,2,18
2,1752,3,2,2,2,26
2,1640,4,2,2,2,23
2,2036,4,3,2,2,42
2,2080,3,2,2,2,43
2,2548,2,2,2,2,18
2,1540,4,2,2,3,25
2,2612,3,3,2,2,16
2,1852,6,3,2,2,34
2,1821,4,2,2,3,46
2,2025,3,3,2,2,13
2,1826,4,3,2,2,50
2,2196,4,3,2,2,30
2,1922,3,2,2,3,50
2,2786,4,3,2,2,26
2,2612,4,3,2,2,17
2,2120,3,2,2,2,43
2,2609,4,3,2,2,41
2,2611,3,3,2,2,15
2,1966,4,3,2,2,40
2,2520,4,3,2,2,24
2,2556,4,2,2,3,79
2,1718,3,3,2,2,26
2,1798,3,3,2,2,24
2,1764,2,2,2,2,17
2,1904,3,3,2,2,26
2,2164,4,2,2,2,37
2,1956,3,2,2,3,18
2,2329,3,2,2,3,42
2,2216,3,2,2,2,30
2,1922,4,2,2,2,45
2,2787,4,2,1,3,80
2,2142,3,2,2,2,43
2,1836,3,2,2,3,56
2,2080,3,2,2,2,34
2,1550,4,2,2,3,40
2,2132,4,3,2,2,36
2,2617,4,3,2,2,17
2,2528,3,3,2,2,25
2,2400,4,3,2,2,26
2,2313,4,3,2,2,30
2,1752,4,3,2,2,24
2,1940,4,3,2,3,43
2,2612,4,3,2,2,17
2,2090,4,2,2,2,33
2,1942,4,3,2,2,30
2,1873,3,3,2,2,24
2,2058,3,3,2,2,33
2,1814,4,3,2,2,23
2,2096,3,3,2,2,25
2,2791,5,3,3,2,56
2,2226,3,3,2,2,47
2,2116,4,3,2,2,38
2,1705,4,2,2,2,30
2,2090,4,4,2,2,39
2,2514,4,3,1,2,49
2,3308,5,4,2,2,74
2,2228,4,4,2,2,37
2,2081,4,2,2,2,22
2,1644,3,3,2,2,22
2,2107,3,2,2,2,55
2,2517,4,3,2,2,37
2,2239,3,3,2,2,16
2,2030,4,3,3,2,14
2,1966,4,3,5,2,30
2,2001,3,3,2,2,21
2,2078,5,3,2,2,37
2,1936,4,4,3,2,15
2,2124,4,1,3,2,28
2,1916,2,2,2,3,48
2,1780,4,3,2,2,22
2,1480,3,3,2,2,18
2,2280,4,2,2,2,46
2,2428,4,3,2,2,36
2,2222,4,2,2,2,47
2,2620,5,3,2,2,36
2,2017,3,1,1,2,44
2,1792,2,2,2,3,47
2,1972,3,3,2,2,13
2,1794,3,2,2,2,42
2,2012,5,3,2,2,35
2,3048,6,4,3,2,42
2,2556,3,2,2,2,45
2,1852,3,2,2,2,18
2,2108,4,4,2,2,24
2,2442,4,3,2,2,33
2,2268,5,3,2,2,31
2,2404,5,3,3,2,29
2,2288,3,2,2,2,39
2,1788,3,3,2,2,33
2,1984,4,3,2,2,36
2,2060,4,3,2,2,21
2,2116,3,3,2,2,26
2,2152,4,3,2,2,15
2,2414,3,3,2,2,88
2,2560,4,2,3,2,25
2,2612,4,3,2,2,17
2,2768,3,3,2,2,81
2,2184,4,3,2,2,25
2,1926,5,3,2,2,16
2,2472,3,3,2,2,33
2,2788,4,3,2,2,18
2,2554,5,3,2,2,42
2,2007,3,3,2,2,43
2,2578,3,3,2,2,37
2,2554,5,3,2,2,36
2,2480,3,3,2,2,38
2,2196,4,3,2,2,34
2,1860,3,3,2,2,45
2,2330,3,3,2,2,13
2,2540,3,2,2,2,62
2,1802,4,3,2,2,46
2,2816,5,3,2,2,56
2,2062,3,3,2,2,25
2,2430,3,4,3,2,18
3,2561,3,3,3,2,21
3,3219,4,4,2,2,58
3,2460,5,4,2,2,23
3,2250,3,2,2,2,53
3,2734,4,3,2,2,31
3,2703,3,3,4,2,39
3,2840,4,4,2,2,37
3,3266,3,3,2,2,94
3,2536,3,3,3,2,15
3,1954,3,3,3,2,40
3,2178,5,3,2,2,44
3,1910,4,3,2,2,34
3,2268,4,3,3,2,30
3,1778,2,2,2,2,11
3,2180,3,2,2,3,50
3,1970,4,3,2,2,30
3,2460,4,3,2,2,35
3,2090,3,3,2,2,15
3,2717,3,4,2,2,19
3,2448,4,4,3,2,23
3,2228,4,3,2,2,20
3,2300,5,3,2,2,41
3,1911,4,2,2,3,49
3,2707,4,4,2,2,10
3,2664,4,3,2,2,40
3,2866,5,3,3,2,41
3,3314,2,3,3,2,18
3,3636,5,3,2,2,26
3,2764,3,3,3,2,30
3,2004,4,3,2,2,35
3,2620,3,2,3,2,77
3,2449,4,4,2,2,17
3,2240,4,2,3,2,28
3,2200,4,3,2,2,34
3,2890,4,3,2,2,48
3,3266,4,3,3,1,17
3,2638,4,3,2,2,24
3,2718,4,4,3,2,24
3,2805,3,4,2,2,14
3,2230,3,2,2,2,16
3,2607,5,2,2,2,26
3,3072,4,3,2,2,36
3,2692,5,4,3,2,18
3,2736,4,3,2,2,23
3,2582,4,3,2,1,36
3,2920,4,3,3,2,15
3,3386,4,5,2,2,37
3,2747,3,4,2,2,9
3,3301,3,4,2,1,25
3,2655,3,3,2,2,54
3,2058,4,2,2,2,26
3,2756,4,3,2,2,29
3,3246,4,4,3,2,15
3,2324,5,4,3,2,35
3,2274,4,3,3,2,16
3,2525,3,3,3,2,19
3,2981,5,4,2,3,52
3,3131,4,4,2,2,14
3,2668,4,3,2,2,24
3,3000,5,4,3,2,29
3,2060,2,3,2,2,5
3,3630,4,3,2,2,33
3,2377,5,2,2,3,65
3,3032,4,4,2,2,30
3,2304,5,4,3,2,24
3,2588,3,3,2,2,34
3,2958,5,4,3,2,15
3,2616,3,4,2,2,25
3,2940,4,7,2,1,14
3,3138,4,4,2,2,33
3,2936,4,4,3,1,15
3,3536,6,4,2,2,24
3,2767,3,3,3,2,61
3,2380,3,3,3,2,4
3,3460,5,4,2,1,30
3,3092,3,4,2,2,24
3,2620,5,4,2,2,37
3,2412,2,3,3,2,16
3,3164,4,4,2,2,36
3,2858,5,4,1,2,13
3,3148,4,4,3,2,33
3,2817,4,3,3,1,6
3,2225,2,3,3,2,5
3,4050,6,5,2,2,36
3,2472,4,4,3,1,15
3,3045,4,3,1,2,11
3,4150,4,3,3,2,68
3,3516,5,7,3,2,6
3,2629,3,3,2,1,13
3,3321,3,4,3,1,31
3,3262,5,4,2,2,24
3,2537,3,3,2,1,9
3,3540,4,4,3,2,22
3,2631,4,4,2,2,17
3,3858,4,4,3,1,15
3,3566,4,4,2,2,26
3,2362,3,3,2,2,25
3,2282,5,4,2,2,15
3,3152,5,4,2,2,22
3,3036,3,5,2,2,25
3,2283,3,3,3,1,5
3,2101,3,3,2,2,46
3,2918,4,4,3,1,14
3,3076,6,4,3,2,18
3,4022,6,4,3,2,16
3,2936,4,3,3,2,22
3,2821,5,4,2,2,40
3,2892,4,4,2,2,25
3,2702,4,3,3,1,11
3,3314,3,4,3,2,16
3,2526,2,2,0,2,6
3,2973,4,3,2,2,22
3,4080,5,4,3,1,19
3,3068,4,4,3,2,14
3,4453,7,5,2,1,28
3,2852,4,3,2,2,41
3,3430,3,4,2,1,36
3,3164,6,4,2,2,20
3,3377,4,3,3,2,5
3,3369,5,4,3,2,21
3,5032,7,3,3,1,13
3,3608,6,4,3,1,21
3,2940,3,3,3,1,23
3,2866,4,4,2,2,20
3,3136,4,4,3,1,13
3,3376,5,4,2,1,55
3,3644,3,4,3,1,18
3,3836,5,4,3,1,20
3,3832,4,3,2,2,50
3,3516,4,4,3,1,23
3,2950,5,3,2,2,33
3,3386,4,4,3,1,8
3,2138,5,3,3,2,46
3,3459,5,4,2,1,24
3,3232,5,5,2,2,18
3,2129,0,0,3,1,10
3,3351,5,4,3,1,8
3,2878,4,4,3,1,10
3,3381,5,4,3,1,14
3,3588,4,5,3,1,15
3,3525,4,5,3,1,6
3,3072,4,4,3,1,10
3,2615,3,3,3,1,6
3,4973,6,6,3,1,15
3,3233,4,4,3,1,11
3,4000,6,5,3,1,23
3,2742,3,3,3,1,11
3,3828,4,5,2,1,27
3,2791,3,4,3,1,10
3,2547,2,3,3,1,6
3,3808,5,4,3,1,20
3,4264,5,4,4,1,7
3,2558,2,4,3,1,18
3,3455,4,5,3,1,7
3,3302,4,3,3,1,20
3,2479,4,4,3,1,13
3,2344,4,3,2,1,77
3,2654,5,3,3,1,5
3,3251,3,4,3,1,17
3,3917,6,5,3,1,7
3,3648,4,4,3,1,10
3,3139,6,4,2,1,25
3,2672,4,3,3,1,7
3,2705,3,3,3,1,8
3,2464,3,3,3,1,10
3,3210,3,5,3,1,7
3,3877,3,3,3,1,10
3,4746,4,4,3,1,6
3,3942,4,3,2,1,12
3,3855,4,4,3,2,6
3,3242,3,3,3,1,13
3,4419,4,5,7,1,15
3,4418,5,5,3,1,5
3,3889,4,4,3,1,11
3,4756,4,4,3,1,12
3,3857,4,5,3,1,5
